date,goods_no,sell_num
2026-09-24,191534262,120
2026-09-24,191700749,4437
2026-09-24,191852111,516
2026-09-24,191852992,612
2026-09-24,191890082,1302
2026-09-24,192021270,216
2026-09-24,192038123,216
2026-09-24,192047818,1566
2026-09-24,192123866,312
2026-09-24,192139754,906
2026-09-24,192148896,38193
2026-09-24,192164452,1392
2026-09-24,192285191,126
2026-09-24,192470678,1170
2026-09-24,192564687,2169
2026-09-24,192564690,1248
2026-09-24,192566622,750
2026-09-24,192666096,459
2026-09-24,192687431,12
2026-09-24,192877325,24429
2026-09-24,192974931,48
2026-09-24,193050689,1008
2026-09-24,193058538,492
2026-09-24,193157707,954
2026-09-24,193184189,1170
2026-09-24,193465618,390
2026-09-24,193466964,516
2026-09-24,193583379,1653
2026-09-24,193588890,540
2026-09-24,193592364,480
2026-09-24,193808287,306
2026-09-24,193816812,390
2026-09-24,193847679,270
2026-09-24,193850555,675
2026-09-24,193852769,2412
2026-09-24,193852891,7305
2026-09-24,193853503,102
2026-09-24,193918984,162
2026-09-24,193988162,204
2026-09-24,194188912,4269
2026-09-24,194189421,3510
2026-09-24,194190603,306
2026-09-24,194254800,2013
2026-09-24,194315477,2310
2026-09-24,194350050,3297
2026-09-24,194368478,654
2026-09-24,194490137,66
2026-09-24,194490698,684
2026-09-24,194491867,3405
2026-09-24,194502134,168
2026-09-24,194502817,1950
2026-09-24,194513646,7674
2026-09-24,194523745,366
2026-09-24,194591330,546
2026-09-24,194601369,888
2026-09-24,194606659,1074
2026-09-24,194643187,1155
2026-09-24,194751433,468
2026-09-24,194820568,3846
2026-09-24,194890597,1467
2026-09-24,194907391,3309
2026-09-24,194907757,717
2026-09-24,194919963,1032
2026-09-24,195027158,1821
2026-09-24,195027162,6132
2026-09-24,195027680,876
2026-09-24,195030345,1326
2026-09-24,195042550,9195
2026-09-24,195075733,585
2026-09-24,195075984,882
2026-09-24,195093975,120
2026-09-24,195125344,666
2026-09-24,195137581,2898
2026-09-24,195141280,3126
2026-09-24,195212300,336
2026-09-24,195217540,282
2026-09-24,195220905,324
2026-09-24,195234494,168
2026-09-24,195235902,612
2026-09-24,195238254,1254
2026-09-24,195254242,903
2026-09-24,195257074,1470
2026-09-24,195265923,7248
2026-09-24,195277760,741
2026-09-24,195413173,648
2026-09-24,195413175,3342
2026-09-24,195413176,1863
2026-09-24,195414502,504
2026-09-24,195436652,2796
2026-09-24,195440647,1020
2026-09-24,195475095,930
2026-09-24,195475100,1200
2026-09-24,195475102,1284
2026-09-24,195479527,1332
2026-09-24,195593367,2766
2026-09-24,195612765,5781
2026-09-24,195614571,84
2026-09-24,195775257,1914
2026-09-24,195776621,1587
2026-09-24,195811384,1074
2026-09-24,195827616,1116
2026-09-24,195827803,1560
2026-09-24,195828801,1488
2026-09-24,195832463,2994
2026-09-24,195853109,984
2026-09-24,195856718,621
2026-09-24,195959641,6363
2026-09-24,196013239,1707
2026-09-24,196016066,348
2026-09-24,196019732,1074
2026-09-24,196020146,5307
2026-09-24,196106713,1074
2026-09-24,196106714,4716
2026-09-24,196113383,1440
2026-09-24,196118220,4053
2026-09-24,196123705,528
2026-09-24,196209093,1212
2026-09-24,196263351,3654
2026-09-24,196266161,666
2026-09-24,196285732,180
2026-09-24,196319354,468
2026-09-24,196345627,1578
2026-09-24,196353226,432
2026-09-24,196359755,1935
2026-09-24,196487132,42
2026-09-24,196504323,120
2026-09-24,196512169,1176
2026-09-24,196521682,1896
2026-09-24,196551222,10272
2026-09-24,196557581,816
2026-09-24,196557823,240
2026-09-24,196560014,162
2026-09-24,196628574,1380
2026-09-24,196634675,120
2026-09-24,196670694,780
2026-09-24,196679322,720
2026-09-24,196681594,180
2026-09-24,196696319,300
2026-09-24,196726844,60
2026-09-24,196783010,1260
2026-09-24,196789645,60
2026-09-24,196815992,120
2026-09-24,196815993,60
2026-09-24,196825790,420
2026-09-24,196826852,420
2026-09-24,196903957,60
2026-09-25,112343709,1500
2026-09-25,112347078,1380
